"","X1.term","X1.estimate","X1.std.error","X1.statistic","X1.p.value","X2.term","X2.estimate","X2.std.error","X2.statistic","X2.p.value","X3.term","X3.estimate","X3.std.error","X3.statistic","X3.p.value","X4.term","X4.estimate","X4.std.error","X4.statistic","X4.p.value","X5.term","X5.estimate","X5.std.error","X5.statistic","X5.p.value"
"1","lfs[, j]",0.137862674645639,0.0789844411068111,1.74544090853548,0.0826337118697339,"lfs[, j]",-0.145577464354682,0.0595930655089088,-2.44285913321441,0.0155479640314199,"lfs[, j]",-0.201073275115924,0.0580913297412004,-3.4613302193583,0.000672958902403663,"lfs[, j]",0.492229752339115,0.348717019219189,1.41154496399764,0.159829592349454,"lfs[, j]",-0.693131159258977,0.164709427446333,-4.20820574757214,0.0000407640029285618
"2","lfs[, j]",0.149172442492648,0.0928495614742641,1.60660362982969,0.109913835433623,"lfs[, j]",-0.19386539740859,0.0834934513300855,-2.32192338824463,0.021369156630054,"lfs[, j]",0.207905424584696,0.255251257320563,0.814512832442558,0.416439598459481,"lfs[, j]",-0.535191938254422,0.103680775358471,-5.16192067819729,0.000000648864555603946,"lfs[, j]",-0.460274755546668,0.0800578312809305,-5.74927834269605,0.0000000382708861265134
"3","lfs[, j]",-0.0151773176100769,0.0296268266289444,-0.51228293195766,0.609088059269728,"lfs[, j]",-0.112164583783972,0.0419425744347875,-2.67424175305134,0.00818731755690946,"lfs[, j]",0.472267701335176,0.298136661089862,1.58406450118803,0.114954094428727,"lfs[, j]",-0.587751747648174,0.14914197929683,-3.94088740419892,0.000116495102976545,"lfs[, j]",-0.0132708953432113,0.346675387812304,-0.0382804658471931,0.969506964397547
"4","lfs[, j]",-0.0501226422628281,0.0413039354991296,-1.2135076635466,0.226543572092496,"lfs[, j]",0.325419601306663,0.196006043583484,1.66025289504942,0.0986241775167662,"lfs[, j]",-0.381741924584577,0.0907793571613733,-4.205162236454,0.0000412659701474363,"lfs[, j]",-0.3626675747551,0.073637872323255,-4.92501430735348,0.00000191717145383714,"lfs[, j]",0.568946931536111,0.404768978189494,1.40560903180124,0.161583297654594
"5","lfs[, j]",-0.0277587102788511,0.0208306040445842,-1.33259267083367,0.184368869742311,"lfs[, j]",0.43656373302833,0.229571726644838,1.90164415892433,0.0588329669469014,"lfs[, j]",-0.396381759857001,0.129789387058945,-3.05403830651408,0.00260462669401276,"lfs[, j]",-0.0397244116428737,0.316254468674274,-0.125609012923665,0.900183184663108,"lfs[, j]",-0.755303077304322,0.115951442392241,-6.51396016919978,0.000000000724952840991025
"6","lfs[, j]",0.274905265619198,0.121851363358639,2.25607049475584,0.0252830083706148,"lfs[, j]",-0.22459912249996,0.0715630868039587,-3.13847728669434,0.00198821335473579,"lfs[, j]",-0.252657644915838,0.0644824469284861,-3.91823910150381,0.000127036162056492,"lfs[, j]",0.437603564492368,0.369857335590291,1.18316854198377,0.238320183115402,"lfs[, j]",-0.705983291282296,0.172569962487594,-4.09099753575625,0.0000650031403622381
"7","lfs[, j]",0.309082664879894,0.143226649342833,2.15799689721193,0.0322679085371869,"lfs[, j]",-0.242160565733699,0.101225121261947,-2.39229711671121,0.0177845595333852,"lfs[, j]",0.137907047831575,0.278021344420843,0.496030432911021,0.62048486198715,"lfs[, j]",-0.604203099289679,0.108655750696036,-5.56070981442974,0.0000000970356181087027,"lfs[, j]",-0.503510102072448,0.0829237541858826,-6.07196462600783,0.00000000744517120972031
"8","lfs[, j]",-0.0683184181708748,0.04571122506889,-1.49456546106376,0.136798548571489,"lfs[, j]",-0.154927198352431,0.050592792059108,-3.06223855310116,0.00253782430404395,"lfs[, j]",0.444167848036626,0.324930011016752,1.36696467847572,0.173360289387015,"lfs[, j]",-0.638888895150718,0.157551500603884,-4.05511145690076,0.0000748413166679181,"lfs[, j]",-0.360386875367267,0.35902347336876,-1.00379752885157,0.316838831226995
"9","lfs[, j]",-0.104692925390291,0.0638634587511232,-1.63932438733518,0.102911912376037,"lfs[, j]",0.317487286219916,0.22711955900636,1.39788615128046,0.163886820505507,"lfs[, j]",-0.458493371145513,0.0976827833200186,-4.69369683748099,0.00000533601941574205,"lfs[, j]",-0.410823757972594,0.0772020383766048,-5.32141076338587,0.000000306908936492131,"lfs[, j]",-0.000102861681643116,0.42269585684152,-0.000243346794103263,0.999806109859494
"10","lfs[, j]",-0.0605928404508519,0.0321584388177246,-1.88419720230496,0.0611685369436753,"lfs[, j]",0.481126477281733,0.265668565006,1.8110026576568,0.071826464613225,"lfs[, j]",-0.511282281430029,0.139693325493661,-3.66003371759683,0.000332163494774717,"lfs[, j]",-0.0169835860463101,0.331708677819777,-0.0512003067207591,0.959223318110344,"lfs[, j]",-0.816924951785612,0.119199758344859,-6.85341114050041,0.000000000113758509292741
"11","lfs[, j]",0.323445069440678,0.160955836126586,2.00952681943325,0.0459918423828869,"lfs[, j]",-0.30130377915685,0.0819418866691825,-3.67704224791992,0.000312255390100242,"lfs[, j]",-0.306445766989828,0.0694138567948383,-4.41476358093123,0.0000175000473234761,"lfs[, j]",0.50368249821813,0.387604785813362,1.29947440447926,0.195461658253668,"lfs[, j]",-0.739521951135798,0.179074891101655,-4.12967974787708,0.0000557846966108925
