date,Total_expenditure
2019/2/1,167348.5
2019/3/1,169317.8333
2019/4/1,171287.1667
2019/5/1,173256.5
2019/6/1,174638.5
2019/7/1,176020.5
2019/8/1,177402.5
2019/9/1,178008.6667
2019/10/1,178614.8333
2019/11/1,179221
2019/12/1,174564.3333
2020/1/1,169907.6667
2020/2/1,165251
2020/3/1,154827
2020/4/1,144403
2020/5/1,133979
2020/6/1,143513.5
2020/7/1,153048
2020/8/1,162582.5
2020/9/1,164030
2020/10/1,165477.5
2020/11/1,166925
2020/12/1,162044.3333
2021/1/1,157163.6667
2021/2/1,152283
2021/3/1,157644.1667
2021/4/1,163005.3333
2021/5/1,168366.5
2021/6/1,171469.6667
2021/7/1,174572.8333
2021/8/1,177676
