"date","Total_expenditure","growth_rate"
1997-03-01,73719.6666666667,0.928467606315131
1997-04-01,74397.8333333333,0.919926387802428
1997-05-01,75076,0.911540882687012
1997-06-01,76408.3333333333,1.7746461363596
1997-07-01,77740.6666666667,1.74370160322828
1997-08-01,79073,1.71381773589112
1997-09-01,79125.8333333333,0.0668158958599507
1997-10-01,79178.6666666667,0.0667712820296762
1997-11-01,79231.5,0.0667267277381089
1997-12-01,78427.3333333333,-1.0149582762748
1998-01-01,77623.1666666667,-1.02536530631329
1998-02-01,76819,-1.03598796750969
1998-03-01,77725.5,1.18004660305393
1998-04-01,78632,1.1662839093991
1998-05-01,79538.5,1.1528385390172
1998-06-01,80777.5,1.55773619064981
1998-07-01,82016.5,1.53384296369656
1998-08-01,83255.5,1.510671633147
1998-09-01,83626.3333333333,0.44541601856134
1998-10-01,83997.1666666667,0.443440861929467
1998-11-01,84368,0.44148314526482
1998-12-01,83619.8333333333,-0.886789620077111
1999-01-01,82871.6666666667,-0.894723939097386
1999-02-01,82123.5,-0.902801520423147
1999-03-01,82735.1666666667,0.744813198008698
1999-04-01,83346.8333333333,0.739306743807044
1999-05-01,83958.5,0.73388111125996
1999-06-01,84581.6666666667,0.742231777207403
1999-07-01,85204.8333333333,0.736763285976072
1999-08-01,85828,0.731374785076744
1999-09-01,86518.8333333333,0.804904382408211
1999-10-01,87209.6666666667,0.798477402800568
1999-11-01,87900.5,0.792152246119504
1999-12-01,87080.6666666667,-0.932683355991526
2000-01-01,86260.8333333333,-0.941464236225431
2000-02-01,85441,-0.95041202554268
2000-03-01,86175.8333333333,0.860047674223541
2000-04-01,86910.6666666667,0.852713927918702
2000-05-01,87645.5,0.845504195879299
2000-06-01,88901.6666666667,1.43323578126278
2000-07-01,90157.8333333333,1.41298438349486
2000-08-01,91414,1.39329731008768
2000-09-01,91707.5,0.321066795020464
2000-10-01,92001,0.320039255240845
2000-11-01,92294.5,0.319018271540528
2000-12-01,90940.3333333333,-1.46722357959215
2001-01-01,89586.1666666667,-1.48907158906388
2001-02-01,88232,-1.511580098862
2001-03-01,89367.6666666667,1.2871369420014
2001-04-01,90503.3333333333,1.2707802598255
2001-05-01,91639,1.25483407609297
2001-06-01,92577.1666666667,1.02376353590354
2001-07-01,93515.3333333333,1.01338883057918
2001-08-01,94453.5,1.00322228796703
2001-09-01,94884.3333333333,0.456132735508286
2001-10-01,95315.1666666667,0.454061611857237
2001-11-01,95746,0.452009211545557
2001-12-01,94293.6666666667,-1.51686058251347
2002-01-01,92841.3333333333,-1.54022362760312
2002-02-01,91389,-1.56431761715328
2002-03-01,92385.5,1.09039381107134
2002-04-01,93382,1.07863246938102
2002-05-01,94378.5,1.06712214345377
2002-06-01,95302.3333333333,0.978859945149924
2002-07-01,96226.1666666667,0.969371159153143
2002-08-01,97150,0.96006457010136
2002-09-01,98039.5,0.915594441585177
2002-10-01,98929,0.907287368866627
2002-11-01,99818.5,0.899129678860588
2002-12-01,97911.8333333333,-1.91013355907638
2003-01-01,96005.1666666667,-1.9473301660848
2003-02-01,94098.5,-1.98600422546704
2003-03-01,95702,1.70406542080905
2003-04-01,97305.5,1.67551357338405
2003-05-01,98909,1.64790273931072
2003-06-01,100066.666666667,1.17043612478809
2003-07-01,101224.333333333,1.15689540306465
2003-08-01,102382,1.14366440216942
2003-09-01,103151.833333333,0.751922538467054
2003-10-01,103921.666666667,0.746310858911836
2003-11-01,104691.5,0.740782320016686
2003-12-01,102935.5,-1.67730904610212
2004-01-01,101179.5,-1.70592264087706
2004-02-01,99423.5,-1.7355294303688
2004-03-01,100708.5,1.29245097989912
2004-04-01,101993.5,1.27595982464241
2004-05-01,103278.5,1.25988420830738
2004-06-01,104410.166666667,1.09574274090605
2004-07-01,105541.833333333,1.08386635401088
2004-08-01,106673.5,1.07224465496303
2004-09-01,107696.833333333,0.959313543976092
2004-10-01,108720.166666667,0.950198164291405
2004-11-01,109743.5,0.941254382428292
2004-12-01,108059.833333333,-1.53418349757997
2005-01-01,106376.166666667,-1.55808741761895
2005-02-01,104692.5,-1.58274801529791
2005-03-01,105777.5,1.03636841225494
2005-04-01,106862.5,1.02573798775731
2005-05-01,107947.5,1.0153234296409
2005-06-01,109140.833333333,1.10547565560419
2005-07-01,110334.166666667,1.09338851178522
2005-08-01,111527.5,1.08156282807532
2005-09-01,112500.833333333,0.872729446399623
2005-10-01,113474.166666667,0.86517877645349
2005-11-01,114447.5,0.857757639403989
2005-12-01,112571.166666667,-1.63947079082841
