DATE,GBRCPIALLMINMEI_PCH
2014-10-01,0.10000
2014-11-01,-0.19980
2014-12-01,0.00000
2015-01-01,-0.70070
2015-02-01,0.30242
2015-03-01,0.10050
2015-04-01,0.30120
2015-05-01,0.20020
2015-06-01,0.00000
2015-07-01,-0.09990
2015-08-01,0.30000
2015-09-01,-0.09970
2015-10-01,0.09980
2015-11-01,0.00000
2015-12-01,0.09970
2016-01-01,-0.49801
2016-02-01,0.20020
2016-03-01,0.29970
2016-04-01,0.19920
2016-05-01,0.19881
2016-06-01,0.19841
2016-07-01,-0.09901
2016-08-01,0.29732
2016-09-01,0.29644
2016-10-01,0.09852
2016-11-01,0.19685
2016-12-01,0.39293
2017-01-01,-0.39139
2017-02-01,0.58939
2017-03-01,0.29297
2017-04-01,0.48685
2017-05-01,0.29070
2017-06-01,0.00000
2017-07-01,0.00000
2017-08-01,0.48309
2017-09-01,0.28846
2017-10-01,0.09588
2017-11-01,0.28736
2017-12-01,0.28653
2018-01-01,-0.47619
2018-02-01,0.38278
2018-03-01,0.19066
2018-04-01,0.38059
2018-05-01,0.37915
2018-06-01,0.00000
2018-07-01,0.00000
2018-08-01,0.56657
2018-09-01,0.09390
2018-10-01,0.09381
2018-11-01,0.18744
2018-12-01,0.18709
2019-01-01,-0.65359
2019-02-01,0.37594
2019-03-01,0.18727
2019-04-01,0.56075
2019-05-01,0.27881
2019-06-01,0.00000
2019-07-01,0.09268
2019-08-01,0.27778
2019-09-01,0.09234
2019-10-01,-0.09225
2019-11-01,0.18467
