,Title,CPI.INDEX.00..ALL.ITEMS.2015.100,inflation,table57,GBRCPIALLMINMEI_PCH
345,2001 NOV,73.8,-0.135317997,-0.196123517,0
346,2001 DEC,74,0.27100271,0.253428742,0.13351
347,2002 JAN,73.7,-0.405405405,-0.323082122,-0.26667
348,2002 FEB,73.8,0.13568521,0.119344689,0.26738
349,2002 MAR,74.1,0.406504065,0.395535327,0.26667
350,2002 APR,74.4,0.4048583,0.418263263,0.53191
351,2002 MAY,74.6,0.268817204,0.223040335,0.26455
352,2002 JUN,74.6,0,-0.012065637,0
353,2002 JUL,74.4,-0.268096515,-0.282906292,-0.26385
354,2002 AUG,74.6,0.268817204,0.287742699,0.26455
355,2002 SEP,74.8,0.268096515,0.27216904,0.26385
356,2002 OCT,74.9,0.13368984,0.207249729,0.13158
357,2002 NOV,74.9,0,-0.021349274,0
358,2002 DEC,75.2,0.400534045,0.368353619,0.26281
359,2003 JAN,74.7,-0.664893617,-0.642253072,-0.52425
360,2003 FEB,75,0.401606426,0.358667577,0.2635
361,2003 MAR,75.3,0.4,0.354718692,0.39422
362,2003 APR,75.5,0.26560425,0.328217394,0.52356
363,2003 MAY,75.5,0,0.034436174,0
364,2003 JUN,75.4,-0.132450331,-0.158881474,-0.13021
365,2003 JUL,75.3,-0.132625995,-0.082219393,-0.13038
366,2003 AUG,75.6,0.398406375,0.3676373,0.2611
367,2003 SEP,75.9,0.396825397,0.31075202,0.26042
368,2003 OCT,76,0.131752306,0.133143505,0.12987
369,2003 NOV,75.9,-0.131578947,-0.04344449,0
370,2003 DEC,76.2,0.395256917,0.306877749,0.2594
371,2004 JAN,75.8,-0.524934383,-0.489764834,-0.3881
372,2004 FEB,76,0.263852243,0.220357322,0.25974
373,2004 MAR,76.1,0.131578947,0.177741498,0.12953
374,2004 APR,76.4,0.394218134,0.354852276,0.3881
375,2004 MAY,76.6,0.261780105,0.365384112,0.3866
376,2004 JUN,76.6,0,-0.046974699,0
377,2004 JUL,76.4,-0.261096606,-0.255871333,-0.25674
378,2004 AUG,76.6,0.261780105,0.257836529,0.2574
379,2004 SEP,76.7,0.130548303,0.09921412,0
380,2004 OCT,76.9,0.260756193,0.260831008,0.25674
381,2004 NOV,77,0.130039012,0.199016624,0.25608
382,2004 DEC,77.4,0.519480519,0.521867819,0.38314
383,2005 JAN,77,-0.516795866,-0.539821523,-0.38168
384,2005 FEB,77.2,0.25974026,0.250600532,0.25543
385,2005 MAR,77.5,0.388601036,0.432597658,0.38217
386,2005 APR,77.8,0.387096774,0.38817673,0.38071
387,2005 MAY,78.1,0.385604113,0.335290264,0.37927
388,2005 JUN,78.1,0,0.049933422,0
389,2005 JUL,78.2,0.128040973,0.063985258,0.12594
390,2005 AUG,78.4,0.255754476,0.327395035,0.25157
391,2005 SEP,78.6,0.255102041,0.147866767,0.25094
392,2005 OCT,78.7,0.127226463,0.150194107,0.12516
393,2005 NOV,78.7,0,-0.00508369,0
394,2005 DEC,78.9,0.254129606,0.303765935,0.375
395,2006 JAN,78.5,-0.506970849,-0.511923769,-0.3736
396,2006 FEB,78.8,0.382165605,0.337519423,0.25
397,2006 MAR,78.9,0.126903553,0.211985428,0.24938
398,2006 APR,79.4,0.633713561,0.604210473,0.62189
399,2006 MAY,79.9,0.629722922,0.542663964,0.49444
400,2006 JUN,80.1,0.250312891,0.296791645,0.246
401,2006 JUL,80,-0.124843945,-0.057434668,0
402,2006 AUG,80.4,0.5,0.436004747,0.3681
403,2006 SEP,80.5,0.124378109,0.082095679,0.12225
404,2006 OCT,80.6,0.124223602,0.157842406,0.1221
405,2006 NOV,80.8,0.248138958,0.268033306,0.2439
406,2006 DEC,81.3,0.618811881,0.58289915,0.48662
407,2007 JAN,80.6,-0.86100861,-0.773925241,-0.60533
408,2007 FEB,81,0.496277916,0.419120838,0.36541
409,2007 MAR,81.4,0.49382716,0.472938765,0.48544
410,2007 APR,81.6,0.245700246,0.314627731,0.36232
411,2007 MAY,81.8,0.245098039,0.278111294,0.24067
412,2007 JUN,82,0.244498778,0.218695403,0.2401
413,2007 JUL,81.5,-0.609756098,-0.608328863,-0.47904
414,2007 AUG,81.8,0.36809816,0.354475095,0.36101
415,2007 SEP,81.9,0.122249389,0.069666821,0.1199
416,2007 OCT,82.3,0.488400488,0.487328244,0.35928
417,2007 NOV,82.5,0.243013366,0.267399178,0.358
418,2007 DEC,83,0.606060606,0.573375033,0.47562
419,2008 JAN,82.4,-0.722891566,-0.674967156,-0.47337
420,2008 FEB,83,0.72815534,0.715958596,0.59453
421,2008 MAR,83.4,0.481927711,0.448208971,0.35461
422,2008 APR,84,0.71942446,0.812052442,0.8245
423,2008 MAY,84.6,0.714285714,0.640125645,0.58411
424,2008 JUN,85.2,0.709219858,0.683344368,0.58072
425,2008 JUL,85.1,-0.117370892,-0.019961955,0
426,2008 AUG,85.7,0.705052879,0.620118621,0.57737
427,2008 SEP,86.1,0.466744457,0.547430346,0.45924
428,2008 OCT,85.9,-0.232288037,-0.239140025,-0.22857
429,2008 NOV,85.8,-0.116414435,-0.109383727,0
430,2008 DEC,85.5,-0.34965035,-0.400736236,-0.2291
