term,estimate,std.error,statistic,p.value,conf.low,conf.high
ALCOHOLIC.BEVERAGES.AND.TOBACCO_(Intercept),0.279241897459011,0.430484618806189,0.648668698624816,0.517078552236991,-0.568116244514734,1.12660003943276
ALCOHOLIC.BEVERAGES.AND.TOBACCO_lag1,-0.209855542798395,0.0545239850828488,-3.84886655807569,0.00014673115475583,-0.317179569428966,-0.102531516167823
ALCOHOLIC.BEVERAGES.AND.TOBACCO_lag2,-0.0942230220618029,0.0552945692139722,-1.70401946160734,0.0894750977958121,-0.203063852566562,0.0146178084429559
ALCOHOLIC.BEVERAGES.AND.TOBACCO_lag3,0.0333202652537891,0.0553395267978371,0.602106074660028,0.54758562049736,-0.0756090589463704,0.142249589453949
ALCOHOLIC.BEVERAGES.AND.TOBACCO_lag4,-0.0525080019400609,0.0552947580135915,-0.949601803613182,0.343124846754,-0.161349204074577,0.0563332001944556
ALCOHOLIC.BEVERAGES.AND.TOBACCO_lag5,-0.0249244643953908,0.0556156223700428,-0.448155811860811,0.654383651844824,-0.13439725012902,0.0845483213382382
ALCOHOLIC.BEVERAGES.AND.TOBACCO_lag6,-0.0716054179808505,0.0559377393141099,-1.2800913812187,0.201561290011502,-0.181712252884412,0.0385014169227114
ALCOHOLIC.BEVERAGES.AND.TOBACCO_lag7,-0.0391812883335612,0.0553176037873722,-0.708296919081398,0.479343870716847,-0.148067459676215,0.0697048830090921
ALCOHOLIC.BEVERAGES.AND.TOBACCO_lag8,-0.0732049461209663,0.0558518479973709,-1.31069872789907,0.191022217224018,-0.183142714109279,0.0367328218673467
ALCOHOLIC.BEVERAGES.AND.TOBACCO_lag9,-0.0740658118773382,0.0555162130501661,-1.33412939766641,0.183234021614416,-0.183342922102701,0.0352112983480248
ALCOHOLIC.BEVERAGES.AND.TOBACCO_lag10,0.0271113195911732,0.0548564819308738,0.494222717842841,0.621532295191314,-0.0808671878246492,0.135089827006995
ALCOHOLIC.BEVERAGES.AND.TOBACCO_lag11,-0.00192133044515588,0.0548775579235378,-0.035011223491995,0.972095472942125,-0.109941323463956,0.106098662573645
ALCOHOLIC.BEVERAGES.AND.TOBACCO_lag12,0.282537330633011,0.053316257218867,5.29927165504464,2.34215906447233e-07,0.177590573698326,0.387484087567695
ALCOHOLIC.BEVERAGES.AND.TOBACCO_CPI_lag1,0.0184348017936538,0.17201360866454,0.107170600842432,0.914729572979327,-0.320153676085984,0.357023279673291
ALCOHOLIC.BEVERAGES.AND.TOBACCO_CPI_lag2,-0.0584466573682679,0.171578003761598,-0.340641900983284,0.733625914637463,-0.396177698431196,0.27928438369466
ALCOHOLIC.BEVERAGES.AND.TOBACCO_CPI_lag3,0.333264115840861,0.170881989125947,1.95025887482636,0.0521323939960299,-0.00309690259480766,0.669625134276529
ALCOHOLIC.BEVERAGES.AND.TOBACCO_CPI_lag4,0.320683775409354,0.172732520310099,1.85653387580778,0.0644166167443803,-0.0193197951579466,0.660687345976655
ALCOHOLIC.BEVERAGES.AND.TOBACCO_CPI_lag5,0.00993971686249406,0.170549722067951,0.0582804635620213,0.953566358864258,-0.325767273102462,0.34564670682745
ALCOHOLIC.BEVERAGES.AND.TOBACCO_CPI_lag6,0.68983491703763,0.174408940646941,3.95527267397418,9.66869065419651e-05,0.346531510983216,1.03313832309204
ALCOHOLIC.BEVERAGES.AND.TOBACCO_CPI_lag7,-0.436892014062655,0.177024884766689,-2.46796948710606,0.0141796778346945,-0.78534459723509,-0.0884394308902193
ALCOHOLIC.BEVERAGES.AND.TOBACCO_CPI_lag8,0.0762047332024973,0.177272231390603,0.429874056442529,0.667614392249353,-0.272734722593273,0.425144188998268
ALCOHOLIC.BEVERAGES.AND.TOBACCO_CPI_lag9,0.142623503964344,0.175301420866627,0.813590119573845,0.416563787048045,-0.202436644021521,0.487683651950208
ALCOHOLIC.BEVERAGES.AND.TOBACCO_CPI_lag10,0.20007223999749,0.174772003778275,1.1447613786663,0.253275255644415,-0.143945812961707,0.544090292956687
ALCOHOLIC.BEVERAGES.AND.TOBACCO_CPI_lag11,0.135427233214586,0.175942175457279,0.769725808281082,0.442104556813728,-0.210894164524875,0.481748630954046
ALCOHOLIC.BEVERAGES.AND.TOBACCO_CPI_lag12,-0.0383567934255168,0.172994433069197,-0.221722703702113,0.824689663303479,-0.378875908333343,0.302162321482309
ALCOHOLIC.BEVERAGES.AND.TOBACCO_time_Aug,-0.579297840297547,0.272298871752858,-2.12743386180214,0.0342486268138575,-1.11528601722688,-0.0433096633682134
ALCOHOLIC.BEVERAGES.AND.TOBACCO_time_Dec,-0.42284895839264,0.375202272428436,-1.12698933206299,0.260701656293055,-1.16139032907149,0.315692412286211
ALCOHOLIC.BEVERAGES.AND.TOBACCO_time_Apr,1.02719450581889,0.3745362854935,2.74257674250553,0.00648468205589392,0.289964051784004,1.76442495985377
ALCOHOLIC.BEVERAGES.AND.TOBACCO_time_Jan,1.17268964301823,0.393407847898849,2.9808496431412,0.00312429372561285,0.398312746677736,1.94706653935873
ALCOHOLIC.BEVERAGES.AND.TOBACCO_time_Jul,0.288512789607478,0.398326653791451,0.724312036016884,0.469472549494473,-0.495546195336887,1.07257177455184
ALCOHOLIC.BEVERAGES.AND.TOBACCO_time_Jun,-0.268512396917243,0.359464444281187,-0.746979016114324,0.455696373026649,-0.976075711156967,0.43905091732248
ALCOHOLIC.BEVERAGES.AND.TOBACCO_time_Mar,0.108684987635897,0.403962284168696,0.269047363814067,0.788089278084598,-0.686467070270185,0.903837045541979
