CPI,01FB,02AT,03CF,04HW,05FH,06HL,07TR,08CM,09RC,10ED,11RH,12MS,
1988-01-01,,,,,,,,,,,,,
1988-02-01,0.313760645450478,0.569925471284516,0.377815274007776,0.629255155672936,0.198894456785648,0.533059969246552,0.148912407594515,-0.0520600922207404,-0.011343246643436,0.28632589340496,0.0324044069993645,0.468498068206014,0.398666753806931
1988-03-01,0.434061023873356,0.311371279113204,0.248492600036543,0.817368167676924,0.520739346755694,0.772043292691804,1.40725399607031,0.600243073641393,0.00515660612812052,0.0367082240017469,0.00809847748621806,0.272520817562461,0.0477368398211997
1988-04-01,1.26901402482946,0.554589851833454,1.42529070827107,0.188950503183394,1.97471341009925,0.466904696511938,0.505341432760775,1.27222071550088,-0.00206253609439377,1.82658331068226,0.0890760385456213,1.24112939755399,0.566062288539948
1988-05-01,0.508357565741302,0.251070135001652,0.384560092006891,1.39549423967857,0.623695395216672,0.477684095421727,0.333463592549177,0.345709068776623,-0.00825031454323444,0.395067001227911,0.0404530744336551,0.429517389488754,0.364467640018118
1988-06-01,0.345516609774377,0.162171039126324,0.0393827646700817,0.322464885191387,0.419884531753767,0.219090987198212,0.24666995559941,0.885556930392806,-0.0103137440953915,-0.0771071523530842,0.0970481196926887,0.341550341550323,0.354548970733615
1988-07-01,0.0477079444098694,-0.897669747709717,-0.00357884188676438,-1.71142985253591,0.428084322656108,-0.124308800205741,0.194260256941581,0.594007022269261,-0.010314807938272,0.13304595407253,-0.0161590046053206,0.301909131271283,1.05346551613386
1988-08-01,0.534903489312311,0.471512770137528,0.0966321892559296,0.105591208250466,0.850040891179904,0.444921316165936,0.610087118372404,0.396853857371671,-0.0175369824011229,0.235178443304718,0.137373737373725,0.675775371086251,0.451318995656314
1988-09-01,0.464003629539511,0.374616635448621,0.171624713958796,1.39530358733833,0.334201602201789,0.770534531626099,0.244096713687414,0.266698416478151,0.747000134129849,-0.0702554381685872,5.85054874112332,0.712275765036941,0.320620992237597
1988-10-01,0.675342803185819,0.149697528965453,0.353369503141066,1.98108300550945,1.10213078618664,0.268543645409314,0.653611524068265,0.227990595387939,-0.0245788314813922,0.376727774387819,0.0686132499809311,0.570447335487057,0.334314550042047
1988-11-01,0.534203282699552,0.751464023915793,0.110261426284919,0.600655620809509,0.813953488372099,0.442615094020482,0.506761058341199,-0.0450204961732759,0.00409747902603286,0.190299986784703,0.319975620905066,0.463029952250049,0.861292147781811
1988-12-01,0.0608432879712906,0.690986688344686,-0.298443828607975,0.348987738667739,-0.146578239138795,0.065959357808465,0.0506739637174292,-0.258391807320302,0.00204865556978628,0.0646318621890574,0.0151883353584514,0.227567334005463,0.222314564720549
1989-01-01,0.391187141496241,0.851750933494788,1.02629890955741,-2.11166048619695,0.522199494645648,-0.53574183414441,2.41339141004864,0.758169934640507,-0.0471181128171461,0.139725557913595,0.318906605922553,0.537448985457267,1.37446358604389
1989-02-01,0.419947506561669,0.278183601176774,0.518518518518518,0.960097813722993,0.39739538446808,0.518887212532238,0.635493682154253,0.389206019719768,-0.0379172174911124,0.321183640695555,0.0681198910081671,0.28586947199909,0.744376278118608
1989-03-01,0.532791829184931,0.528878776992769,0.185984489595392,0.38118116528274,0.746339834994503,0.527430599391221,0.108113420806921,0.728400573321753,0.0246042811449243,0.128586986472135,-0.00756372437787922,0.419030244291774,0.182689184800244
1989-04-01,0.987940723556591,1.177264695956,0.406304728546414,1.77851834637843,0.828382760171365,0.526058745552205,1.44322811840361,1.92680025193031,0.0625204985241101,0.665696950636208,0.0529500756429657,0.54218235494492,1.09616241844634
1989-05-01,0.730736479394811,0.618083352955035,0.177911114211948,0.6257165620567,0.995281800896697,0.424752227867065,0.750060488749105,0.984094289964532,-0.035850003585014,0.848748356526374,0.264610266878362,0.431971540698517,0.284597655075647
1989-06-01,0.27719891479574,0.319819029232238,0.13929031584079,0.189251298688764,0.297501452643822,0.163100569469776,0.537944284341974,0.441926345609067,-0.0491833514355222,0.169095532521846,0.241290906348968,0.385134375351393,-0.0139896476607282
1989-07-01,-0.0215656674574016,-0.60260871255563,0.0660708697012735,-1.94676278406353,0.305888350751982,-0.131095962244365,0.250812153640378,-0.0654332129964019,-0.0615094416993034,0.382722094791377,0.180532571084702,0.588087036881446,0.405756546072356
1989-08-01,0.280414150129427,0.381358418242628,0.0695023630803426,0.0137602956497673,0.517500288783657,0.402094761713956,0.700517048297544,-0.647987175724185,0.0379541677779205,0.102697082119163,0.225259047905091,0.904813608396671,0.149304242231207
1989-09-01,0.725473708911006,0.732543640897743,0.503542158633152,2.0534415660993,0.723988140384746,0.448652665767524,0.0354920379528112,0.377238432869742,1.93697896906371,0.27186806704369,4.27030266706621,0.640105948570802,0.25244493917469
1989-10-01,0.757134536983117,1.07341791737583,0.877647627932698,1.21671136447896,0.743884629426805,0.589137940483386,0.565305832820862,0.280733529544919,1.4736651510884,0.59086084076172,0.107774105474934,0.825200131593373,0.507584019034391
1989-11-01,0.371868978805412,0.991216823896357,-0.0924815893132425,0.61888135173962,0.253680634201592,0.384101991337271,0.2822400451584,-0.340903959904271,0.746453601911234,0.848028682949131,0.624416852077792,0.34804361421541,0.641139452762807
1989-12-01,0.172767934271389,0.864012732819219,-0.373697202413603,-0.0742250105191578,0.291446387420358,0.198100407055635,0.00469076154514525,-0.835919624855586,0.157433828593923,0.112203731719629,0.335235378031395,0.449803549654515,0.348910145836601
