"","start","end"
"1",1,"10"
"2",11,"14"
"3",15,"18"
"4",19,"25"
"5",26,"34"
"6",35,"38"
"7",39,"46"
"8",47,"47"
"9",48,"61"
"10",62,"62"
"11",63,"65"
"12",66,"73"
