,cola,colB,colc,winner
79,GARMENTS FOR WOMEN,..,TRANSPORT INSURANCE,Tie
80,GARMENTS FOR INFANTS  ( TO  YEARS) AND CHILDREN ( TO  YEARS),..,OTHER FINANCIAL SERVICES (NEC),Tie
81,OTHER CLOTHING AND CLOTHING ACCESSORIES,3,OTHER SERVICES (NEC),Tie
82,OTHER ARTICLES OF CLOTHING,..,NA,NA
83,CLOTHING ACCESSORIES,..,NA,NA
84,"CLEANING, REPAIR AND HIRE OF CLOTHING",1,NA,NA
85,CLEANING OF CLOTHING,..,NA,NA
86,REPAIR AND HIRE OF CLOTHING,..,NA,NA
87,FOOTWEAR INCLUDING REPAIRS,8,NA,NA
88,FOOTWEAR FOR MEN,..,NA,NA
89,FOOTWEAR FOR WOMEN,..,NA,NA
90,FOOTWEAR FOR INFANTS AND CHILDREN,..,NA,NA
91,ACTUAL RENTALS FOR HOUSING,51,NA,NA
92,REGULAR MAINTENANCE AND REPAIR OF THE DWELLING,18,NA,NA
93,MATERIALS FOR MAINTENANCE AND REPAIR,10,NA,NA
94,SERVICES FOR MAINTENANCE AND REPAIR,8,NA,NA
95,SERVICES OF PLUMBERS,..,NA,NA
96,SERVICES OF ELECTRICIANS,..,NA,NA
97,SERVICES OF PAINTERS,..,NA,NA
98,SERVICES OF CARPENTERS,..,NA,NA
99,WATER SUPPLY AND MISC SERVICES FOR THE DWELLING,11,NA,NA
100,WATER SUPPLY,5,NA,NA
101,SEWERAGE COLLECTION,6,NA,NA
102,"ELECTRICITY, GAS AND OTHER FUELS",35,NA,NA
103,ELECTRICITY,17,NA,NA
104,GAS,15,NA,NA
105,NATURAL GAS AND TOWN GAS,..,NA,NA
106,"LIQUEFIED HYDROCARBONS (BUTANE, PROPANE, ETC)",..,NA,NA
107,LIQUID FUELS,2,NA,NA
108,SOLID FUELS,1,NA,NA
109,"FURNITURE, FURNISHINGS AND CARPETS",28,NA,NA
110,FURNITURE AND FURNISHINGS,22,NA,NA
111,HOUSEHOLD FURNITURE,..,NA,NA
112,GARDEN FURNITURE,..,NA,NA
113,LIGHTING EQUIPMENT,..,NA,NA
114,OTHER FURNITURE AND FURNISHINGS,..,NA,NA
115,CARPETS AND OTHER FLOOR COVERINGS,6,NA,NA
116,CARPETS AND RUGS,..,NA,NA
117,OTHER FLOOR COVERINGS,..,NA,NA
