"","ts.divs.CPI ALL ITEMS","ts.divs.FOOD AND NON-ALCOHOLIC BEVERAGES","ts.divs.ALCOHOLIC BEVERAGES AND TOBACCO","ts.divs.CLOTHING AND FOOTWEAR","ts.divs.HOUSING, WATER, ELELCTRICITY, GAS AND OTHER FUELS","ts.divs.FURNITURE, HOUSEHOLD EQUIPMENT AND MAINTENANCE","ts.divs.HEALTH","ts.divs.TRANSPORT","ts.divs.COMMUNICATION","ts.divs.RECREATION & CULTURE","ts.divs.EDUCATION","ts.divs.RESTAURANTS AND HOTELS","ts.divs.MISCELLANEOUS GOODS AND SERVICES"
"1",0.322347349932839,0.564536288642614,0.377275557671886,0.633322422938831,0.0347277032359816,0.538375585900641,0.147835269271379,-0.0494058941231779,-0.0122372808761928,0.284807551468802,0.0324044069993645,0.471655052794939,0.40803723064029
"2",0.341908508578603,0.308648368720865,0.251788060137192,0.820873946803236,-0.0157798396768216,0.77653647412026,1.40763390974272,0.603049850473303,0.00611938928494205,0.0378664935626771,0.00809847748621806,0.269549942455627,0.0637026623319548
"3",1.15565408379006,0.555509664629117,1.41957558329997,0.184857081408807,2.67037025346422,0.468347178458917,0.504289056407603,1.27011423658028,-0.00203967161287455,1.80473692748608,0.0890760385456213,1.24142930498083,0.594911421860256
"4",0.505275974025987,0.260817776682476,0.384021821053016,1.41632634285218,0.842377102099801,0.474717379217915,0.333643699565478,0.349328028722518,-0.00917870947344523,0.391729852470557,0.0404530744336551,0.4296199057223,0.36880237430168
"5",0.405822851258852,0.165915608357237,0.0429031104755007,0.325575300627956,0.987774762964544,0.219920544835417,0.247467326579542,0.882367161436926,-0.0101995022642853,-0.0674585328430455,0.0970481196926887,0.341631513279084,0.358750244602435
"6",-0.0201085863663741,-0.881372569068128,-0.00357372596668792,-1.73913917132178,0.754716981132075,-0.121752672188002,0.192856591838297,0.596678728043898,-0.01020054266887,0.135008140196691,-0.0161590046053206,0.301980637712052,1.02907405000217
"7",0.321802091713597,0.464204662677958,0.096494049533602,0.103782169916466,-0.0329588014981397,0.443663269500605,0.610820244328103,0.400190566936653,-0.0183628499143107,0.239250261060375,0.137373737373725,0.678886625933472,0.461046898119344
"8",0.485164394546911,0.371701406715252,0.171379605826916,1.41007635147212,0.209806977580618,0.776156473144995,0.2448854650273,0.265730283761978,0.599963267555048,-0.0593401376691172,5.85054874112332,0.70949016388635,0.328722677595628
"9",0.44890467259886,0.151403551845508,0.352865697177074,1.98573773959287,0.364898008015802,0.271663025821978,0.653977301643849,0.229531471840994,-0.0253565125666766,0.364168942722554,0.0686132499809311,0.573491310296648,0.353176460576132
"10",0.371422329036486,0.747701736465789,0.103001243118461,0.607380412722414,0.214566694480878,0.434321146272665,0.505625079003935,-0.0448568123332604,0.00405807099594924,0.201143758627498,0.319975620905066,0.460229246266053,0.886194029850751
"11",0.146436062848765,0.691459161326935,-0.301589554357085,0.347994247542194,0.020815986677758,0.0695245908477693,0.0503081373412151,-0.259813878785009,0.003043429742422,0.0603531974074256,0.0151883353584514,0.227619788515288,0.218551674862355
"12",0.310227631994953,0.839760758805408,1.02850635253924,-2.09442009704179,0.220008919280534,-0.575263662511982,2.41357636706474,0.779103912096235,-0.0486933939295442,0.137679639148236,0.318906605922553,0.537572586672797,1.45732858041518
"13",0.382153058209411,0.267603946159678,0.510779202479927,0.957205519418891,0.0652644694295157,0.515701647729649,0.635816865103722,0.38536550978685,-0.039582656706727,0.320810800193794,0.0681198910081671,0.285934864037984,0.748165753849328
"14",0.390510017857482,0.533779477374119,0.182245119685986,0.378064350115315,0.168984020633833,0.546425294068564,0.107332780406888,0.723297675616208,0.0253835453705387,0.127913958284376,-0.00756372437787922,0.419125823282873,0.184626746261318
"15",1.39372141209586,1.19066487043347,0.402308903270931,1.76291373751516,3.51012193678228,0.515798935214007,1.44500219308934,1.90332326283986,0.0639503014799869,0.662217123787667,0.0529500756429657,0.542305508233976,1.11186190797961
"16",0.572574270787141,0.624547252187879,0.181184668989554,0.622511166445427,0.426030765711682,0.425104556460476,0.749441521942784,0.980638098930431,-0.0365196749748886,0.852110852110854,0.264610266878362,0.432069131060975,0.279465370595378
"17",0.327787149210246,0.321036656549145,0.142598775737346,0.191134627143041,0.703242889274835,0.152061043604546,0.538826502634526,0.440389349352954,-0.0507403009914587,0.169495878168413,0.241290906348968,0.385221010010128,-0.0181752090149034
"18",-0.0974416782896115,-0.593471810089019,0.0659882610356766,-1.92547956790835,0.500424088210338,-0.144990972260228,0.25136948943536,-0.049467104375589,-0.0629499142053569,0.38200230739649,0.180532571084702,0.591019859387698,0.393867781615453
"19",0.162561199510414,0.394107891912987,0.065944745245039,0.0195985242311236,0.163164261400395,0.415057121722717,0.697811945594329,-0.636641770898949,0.0386065082445208,0.0983296725749483,0.225259047905091,0.902205390955668,0.156929019797181
"20",0.666373894945882,0.763744485687079,0.509867850577517,2.03882686627119,0.255582081168382,0.443353113703004,0.037585153864228,0.375829201476163,1.99254572597927,0.270459909421428,4.27030266706621,0.637487581410756,0.239042224097075
"21",0.732142179735207,1.09161041465766,0.876527020498297,1.21940095727775,0.50145674585389,0.593508080945271,0.563565491006446,0.27743317920379,1.35319479433231,0.601804140107132,0.107774105474934,0.828145995009177,0.515019739083389
"22",0.410484296151248,0.99015567765568,-0.0889436234263852,0.616109922737262,0.28432055749128,0.380736360322431,0.28253864474852,-0.339646407845595,0.769245883601211,0.842291640318726,0.624416852077792,0.348119339661124,0.645958770285904
