"","cpi","ppi","time1"
"1",0.144092219020164,-0.534759358288761,1997-03-01
"2",0.431654676258986,-0.134408602150549,1997-04-01
"3",0.286532951289398,0,1997-05-01
"4",0.285714285714289,-0.26917900403769,1997-06-01
"5",-0.427350427350426,-0.53981106612685,1997-07-01
"6",0.57224606580828,0.542740841248301,1997-08-01
"7",0.426742532005675,0.404858299595157,1997-09-01
"8",0,0,1997-10-01
"9",0,-0.134408602150549,1997-11-01
"10",0.141643059490093,-0.403768506056523,1997-12-01
"11",-0.565770862800574,-0.405405405405401,1998-01-01
"12",0.284495021337139,-0.678426051560377,1998-02-01
"13",0.283687943262412,-0.273224043715847,1998-03-01
"14",0.565770862800563,-0.273972602739725,1998-04-01
"15",0.421940928270059,0.137362637362659,1998-05-01
"16",-0.140056022408974,-0.274348422496573,1998-06-01
"17",-0.420757363253854,0,1998-07-01
"18",0.28169014084507,-0.275103163686385,1998-08-01
"19",0.42134831460674,-0.137931034482752,1998-09-01
"20",0,-0.138121546961334,1998-10-01
"21",0.139860139860137,-0.276625172890732,1998-11-01
"22",0.27932960893855,-0.416088765603329,1998-12-01
"23",-0.557103064066844,-0.1392757660167,1999-01-01
"24",0.140056022408963,0.139470013946985,1999-02-01
"25",0.559440559440572,0.139275766016733,1999-03-01
"26",0.417246175243391,0.417246175243391,1999-04-01
"27",0.277008310249305,0,1999-05-01
"28",-0.138121546961334,-0.138504155124664,1999-06-01
"29",-0.553250345781453,0.138696255201132,1999-07-01
"30",0.278164116828905,0.277008310249305,1999-08-01
"31",0.416088765603351,0.41436464088398,1999-09-01
"32",-0.138121546961334,0.137551581843187,1999-10-01
"33",0.138312586445388,0.137362637362659,1999-11-01
"34",0.276243093922646,0.411522633744843,1999-12-01
"35",-0.964187327823673,0.136612021857907,2000-01-01
"36",0.417246175243391,0.136425648021832,2000-02-01
"37",0.138504155124641,0.27247956403269,2000-03-01
"38",0.414937759336098,0,2000-04-01
"39",0.275482093663926,0,2000-05-01
"40",0.137362637362659,0.679347826086962,2000-06-01
"41",-0.548696844993146,0.134952766531726,2000-07-01
"42",0,-0.404312668463613,2000-08-01
"43",0.827586206896536,0.405953991880925,2000-09-01
"44",0,0.269541778975735,2000-10-01
"45",0.136798905608759,0,2000-11-01
"46",0,-0.403225806451624,2000-12-01
"47",-0.819672131147553,-0.80971659919028,2001-01-01
"48",0.137741046831974,-0.408163265306116,2001-02-01
"49",0.412654745529561,0.273224043715858,2001-03-01
"50",0.54794520547945,0.408719346049047,2001-04-01
"51",0.817438692098094,0.407055630936215,2001-05-01
"52",0.135135135135123,0.135135135135123,2001-06-01
"53",-0.674763832658565,-0.269905533063408,2001-07-01
"54",0.407608695652195,-0.270635994587287,2001-08-01
"55",0.270635994587254,-0.135685210312086,2001-09-01
"56",-0.269905533063408,-0.271739130434767,2001-10-01
"57",-0.135317997293649,-0.95367847411445,2001-11-01
"58",0.271002710027113,-0.412654745529573,2001-12-01
"59",-0.405405405405401,0.276243093922646,2002-01-01
"60",0.135685210312064,0,2002-02-01
"61",0.406504065040636,0.275482093663926,2002-03-01
"62",0.404858299595157,0.686813186813184,2002-04-01
"63",0.268817204301053,0.136425648021832,2002-05-01
"64",0,-0.136239782016356,2002-06-01
"65",-0.268096514745297,0,2002-07-01
"66",0.268817204301053,0,2002-08-01
"67",0.268096514745308,0.272851296043664,2002-09-01
"68",0.133689839572204,0.136054421768694,2002-10-01
"69",0,-0.135869565217384,2002-11-01
"70",0.400534045393863,0.136054421768694,2002-12-01
"71",-0.664893617021278,0.543478260869579,2003-01-01
"72",0.401606425702816,0.540540540540557,2003-02-01
"73",0.4,1.0752688172043,2003-03-01
"74",0.265604249667994,-0.664893617021278,2003-04-01
"75",0,-0.535475234270422,2003-05-01
"76",-0.132450331125822,-0.26917900403769,2003-06-01
"77",-0.132625994694968,0.134952766531726,2003-07-01
"78",0.398406374501992,0.269541778975735,2003-08-01
"79",0.396825396825418,0.134408602150526,2003-09-01
"80",0.131752305665334,-0.134228187919461,2003-10-01
"81",-0.131578947368416,0.134408602150526,2003-11-01
"82",0.395256916996045,0.134228187919461,2003-12-01
"83",-0.524934383202103,0.268096514745308,2004-01-01
"84",0.263852242744078,0.133689839572204,2004-02-01
"85",0.131578947368416,0.400534045393863,2004-03-01
"86",0.394218134034174,0.39893617021276,2004-04-01
"87",0.261780104712028,0.794701986754953,2004-05-01
