Date,CPI-trim (5%)
2015m10,-1.126153199
2015m11,-1.051395597
2015m12,-1.065291604
2016m1,-0.899676878
2016m2,-0.982344816
2016m3,-0.86990331
2016m4,-0.953389504
2016m5,-1.091822552
2016m6,-1.163010091
2016m7,-0.959368332
2016m8,-0.997144144
2016m9,-0.771682802
2016m10,-0.811872628
2016m11,-0.471386658
2016m12,-0.200533947
2017m1,0.111697892
2017m2,0.934401435
2017m3,1.140366248
2017m4,1.278074259
2017m5,1.748677727
2017m6,1.791840658
2017m7,2.056196369
2017m8,2.253971945
2017m9,2.387150243
2017m10,2.69436222
2017m11,2.61148136
2017m12,2.55656895
2018m1,2.354990324
2018m2,1.714844698
2018m3,1.578979035
2018m4,1.638365139
2018m5,1.30131037
2018m6,1.19892975
2018m7,1.031721161
2018m8,1.045681732
2018m9,0.899287863
2018m10,0.666394444
2018m11,0.637147529
2018m12,0.674566088
2019m1,0.694759565
2019m2,0.780905891
2019m3,0.716296128
2019m4,0.453201601
2019m5,0.785476486
2019m6,1.018700566
2019m7,1.035058086
2019m8,0.96658229
2019m9,0.957058334
2019m10,0.869004407
2019m11,0.9815871
2019m12,0.843177729
2020m1,0.946048596
2020m2,0.913508971
2020m3,0.654371798
2020m4,0.988458133
2020m5,1.17409613
2020m6,1.043250224
2020m7,1.336964657
2020m8,1.252972817
2020m9,1.228356194
2020m10,1.327805973
2020m11,0.316798258
2020m12,0.27797117
2021m1,0.45421904
2021m2,0.24483276
2021m3,0.597453474
2021m4,0.902712126
2021m5,1.237986623
2021m6,1.557917918
2021m7,1.420123287
2021m8,1.565216827
2021m09,1.609427562
2021m10,2.096122316
