Title,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2018 MAY,-4.76190476190477
2018 JUN,0
2018 JUL,0
2018 AUG,2.49999999999999
2018 SEP,0
2018 OCT,-2.43902439024389
2018 NOV,0
2018 DEC,-2.5
2019 JAN,0
2019 FEB,-2.56410256410257
2019 MAR,0
2019 APR,0
2019 MAY,2.63157894736843
2019 JUN,-2.56410256410257
2019 JUL,2.63157894736843
2019 AUG,-2.56410256410257
2019 SEP,0
2019 OCT,0
2019 NOV,0
2019 DEC,2.63157894736843
