"","x"
"1",0.149625695592443
"2",-0.113557159139328
"3",0.281282332784679
"4",1.12070187244151
"5",1.30340949942446
"6",0.928740690552413
"7",1.33175433098999
"8",1.25975132738682
"9",1.40955737770057
"10",1.70763975885711
"11",1.80088231115162
"12",1.29451644341461
"13",0.656445577344368
"14",1.28467538300343
"15",1.44797089742774
"16",1.03124572857486
"17",1.08980752156098
"18",0.306281799305093
"19",0.374386184597339
"20",0.653841661266567
"21",0.940999019883584
"22",0.983362111558058
"23",1.24259842401109
"24",1.62827045763312
"25",-0.171759683303019
"26",-0.530681696342164
"27",0.245932405741687
"28",0.746474867351023
"29",1.10248593872643
"30",2.40656904763571
"31",2.52982538510875
"32",1.91367326875571
"33",1.34155570875979
"34",1.40295537487689
"35",0.00265056221847143
"36",0.426822055941656
"37",1.07268317798289
"38",0.832304837322973
"39",0.07003318978364
"40",-0.316549634295532
"41",-1.31355617229703
"42",-1.45535892321574
"43",-1.71143034681625
"44",-1.41840920326233
"45",-0.957317402940522
"46",-1.19302021738135
"47",0.241371730782759
"48",0.517693216493127
"49",-0.253739945520968
"50",0.530460373464811
"51",1.41687473317567
"52",1.08723882455443
"53",0.884469261901764
"54",1.05023816844685
"55",1.59931523304813
"56",2.64040922043391
"57",2.38089565125898
"58",3.22937901728387
"59",3.1541691824327
"60",3.29263391005112
"61",0.94374781865996
"62",0.508970926127155
"63",0.589876930741307
"64",0.900179130156667
"65",1.14591731921468
"66",1.38854153153163
"67",1.5628874783136
"68",1.33380981415289
"69",1.11649232474288
"70",0.759535018883052
"71",0.187286894923305
"72",-0.213492601036806
"73",0.0113130956534975
"74",0.460531531898003
"75",0.0284809652184286
"76",-0.484262597660775
"77",-1.29824163350822
"78",-1.31974491077496
"79",-1.50818770352111
"80",-1.64637500783846
"81",-1.02288668792423
"82",-1.16042543343415
"83",-0.786487674084279
"84",-0.529475867099544
"85",-0.320842360339023
"86",-0.706430612114964
"87",-0.548096229819029
"88",-0.29191140380088
"89",0.101261553543175
"90",0.278580845057859
"91",0.263906929004535
"92",0.153567882038643
"93",-0.14515865428049
"94",-0.342381395782452
"95",-0.353911159315128
"96",-0.464155346770228
"97",-0.0514436856194205
"98",-0.144062071586296
"99",-0.709310955241448
"100",-0.770765064810758
"101",-0.274419607059461
"102",-0.960385260485692
"103",-1.14537816379286
"104",-1.08184073194618
"105",-1.34653151744434
"106",-1.67970983848359
"107",-1.67142551744289
"108",-1.5741284877
"109",-0.290397732053755
"110",-0.515848482699476
"111",-0.0837026578472412
"112",-0.112183870212291
"113",-0.0208017104888109
"114",0.0520383027231481
"115",-0.0190575178914432
"116",-0.135507165205958
"117",-0.20995510316486
"118",-0.0139698538174375
"119",-0.3603211046981
"120",-0.215579724508944
"121",0.310555174461859
"122",0.156174384480497
"123",0.143183003644875
"124",-0.105987511167806
"125",-0.450104015908945
"126",-0.0881261734666653
"127",0.164823160297437
"128",0.323015982070964
"129",0.455958925764704
"130",0.924549472728059
"131",1.32248948328478
"132",1.37572577995568
"133",0.940253605921235
"134",1.49180005207602
"135",1.72369838913551
"136",2.31958172205616
"137",2.42069616265345
"138",2.54230275416673
"139",2.45553982776261
"140",2.61369581694183
"141",2.81433474344795
"142",2.76782922047191
"143",2.92133183187266
"144",2.93103150587009
"145",-0.560000001324333
"146",-0.915470874356899
"147",-0.793161012979083
"148",-1.26877953837176
"149",-1.55108505540547
"150",-1.86025503816668
"151",-1.56067768365648
"152",-1.92606341780382
"153",-2.18891077934945
"154",-2.06839333059801
"155",-2.2478081081509
"156",-2.21053065433295
"157",0.195610455758047
"158",0.228816413219265
"159",-0.0584338866484611
"160",0.203435397903903
"161",0.613871739306192
"162",0.916640667080722
"163",0.580645009832369
"164",0.564392256555668
"165",0.537974247025201
"166",0.543422940789076
"167",0.612458522490072
