Title,change
2000 FEB,-2.28013029315961
2000 MAR,3.33333333333334
2000 APR,0
2000 MAY,0.645161290322571
2000 JUN,-0.320512820512819
2000 JUL,0.964630225080376
2000 AUG,0.318471337579629
2000 SEP,0.634920634920633
2000 OCT,0.315457413249209
2000 NOV,0.628930817610063
2000 DEC,1.5625
2001 JAN,-0.307692307692309
2001 FEB,0.617283950617287
2001 MAR,-0.306748466257667
2001 APR,0.923076923076915
2001 MAY,0
2001 JUN,0.304878048780477
2001 JUL,0
2001 AUG,0.607902735562305
2001 SEP,0.302114803625386
2001 OCT,0.301204819277112
2001 NOV,0.300300300300305
2001 DEC,0.598802395209575
2002 JAN,0
2002 FEB,-0.297619047619047
2002 MAR,0
2002 APR,0.8955223880597
2002 MAY,0.591715976331364
2002 JUN,0.294117647058823
2002 JUL,0.293255131964809
2002 AUG,0
2002 SEP,0
2002 OCT,0
2002 NOV,0.292397660818722
2002 DEC,0.291545189504383
2003 JAN,0.290697674418605
2003 FEB,-0.579710144927537
2003 MAR,1.45772594752187
2003 APR,0.287356321839072
2003 MAY,0
2003 JUN,0.286532951289398
2003 JUL,0.285714285714289
2003 AUG,0.56980056980056
2003 SEP,0.283286118980164
2003 OCT,0.564971751412435
2003 NOV,0
2003 DEC,0.561797752808979
2004 JAN,0.27932960893855
2004 FEB,-1.39275766016713
2004 MAR,1.97740112994351
2004 APR,0.831024930747915
2004 MAY,0
2004 JUN,0.274725274725274
2004 JUL,0.54794520547945
2004 AUG,0.27247956403269
2004 SEP,0.815217391304346
2004 OCT,0.539083557951492
2004 NOV,0
2004 DEC,0.268096514745309
2005 JAN,0.802139037433158
2005 FEB,-0.795755968169765
2005 MAR,0.802139037433158
2005 APR,0.265251989389914
2005 MAY,0.793650793650791
2005 JUN,0
2005 JUL,0.787401574803148
2005 AUG,0.78125
2005 SEP,0.258397932816545
2005 OCT,0
2005 NOV,0.515463917525771
2005 DEC,0.256410256410256
2006 JAN,0.511508951406658
2006 FEB,1.01781170483461
2006 MAR,0.251889168765751
2006 APR,-0.502512562814073
2006 MAY,0.505050505050497
2006 JUN,1.00502512562815
2006 JUL,-0.248756218905477
2006 AUG,0
2006 SEP,0
2006 OCT,0.748129675810483
2006 NOV,0.495049504950496
2006 DEC,1.72413793103448
2007 JAN,1.93704600484261
2007 FEB,1.18764845605701
2007 MAR,-2.11267605633803
2007 APR,-0.959232613908878
2007 MAY,0.726392251815988
2007 JUN,0.721153846153855
2007 JUL,0.238663484486867
2007 AUG,0.238095238095237
2007 SEP,0.475059382422804
2007 OCT,-0.472813238770686
2007 NOV,0.950118764845609
2007 DEC,0
2008 JAN,3.29411764705883
2008 FEB,1.36674259681093
2008 MAR,-1.12359550561798
2008 APR,-2.27272727272727
2008 MAY,0.697674418604644
2008 JUN,-0.230946882217087
2008 JUL,0.462962962962954
2008 AUG,0
2008 SEP,0
2008 OCT,0.230414746543772
2008 NOV,-0.229885057471269
2008 DEC,0.460829493087567
2009 JAN,-0.458715596330273
2009 FEB,-3.45622119815668
2009 MAR,3.81861575178997
2009 APR,0.459770114942537
2009 MAY,-0.228832951945079
2009 JUN,0
2009 JUL,-0.229357798165142
2009 AUG,0.229885057471257
2009 SEP,0.229357798165131
2009 OCT,0
2009 NOV,0.457665903890159
2009 DEC,0
2010 JAN,0.227790432801833
2010 FEB,0.454545454545463
2010 MAR,0
2010 APR,0
2010 MAY,0.452488687782804
2010 JUN,0
2010 JUL,-0.225225225225223
2010 AUG,0.451467268623018
2010 SEP,0.449438202247188
2010 OCT,0
2010 NOV,0.223713646532442
2010 DEC,0.223214285714279
2011 JAN,0.890868596881966
2011 FEB,0
2011 MAR,0
2011 APR,-0.220750551876381
2011 MAY,0.221238938053103
2011 JUN,0.883002207505523
2011 JUL,-0.218818380743979
2011 AUG,-0.438596491228072
2011 SEP,0
2011 OCT,0.440528634361237
2011 NOV,0.219298245614041
2011 DEC,0
2012 JAN,-0.43763676148797
2012 FEB,0.439560439560438
2012 MAR,0
2012 APR,0.656455142231938
2012 MAY,0
2012 JUN,0.43478260869565
2012 JUL,0.216450216450226
2012 AUG,0.21598272138228
2012 SEP,-0.431034482758619
2012 OCT,0
2012 NOV,0.216450216450226
2012 DEC,-0.431965442764581
2013 JAN,0
2013 FEB,0.216919739696309
2013 MAR,-1.2987012987013
2013 APR,4.16666666666667
2013 MAY,-1.47368421052632
2013 JUN,-0.213675213675213
2013 JUL,-0.214132762312635
2013 AUG,0
2013 SEP,0
2013 OCT,0
2013 NOV,0
2013 DEC,0.429184549356232
2014 JAN,0.213675213675213
2014 FEB,0.639658848614078
2014 MAR,-2.33050847457628
2014 APR,1.73535791757049
2014 MAY,0
2014 JUN,0.213219616204685
2014 JUL,-0.425531914893618
2014 AUG,0.427350427350426
2014 SEP,0.638297872340421
2014 OCT,0.422832980972521
2014 NOV,0
2014 DEC,0.631578947368428
2015 JAN,-0.418410041841
2015 FEB,0.630252100840334
2015 MAR,0.20876826722338
2015 APR,0.208333333333344
2015 MAY,0.207900207900202
2015 JUN,-0.207468879668049
2015 JUL,0.623700623700629
2015 AUG,0
2015 SEP,-0.206611570247939
2015 OCT,0.207039337474124
2015 NOV,0
2015 DEC,0.619834710743805
2016 JAN,0.41067761806981
2016 FEB,-0.613496932515334
2016 MAR,1.23456790123457
2016 APR,0.203252032520318
2016 MAY,0
2016 JUN,0
2016 JUL,0.608519269776875
2016 AUG,-0.201612903225812
2016 SEP,0
2016 OCT,0.404040404040407
2016 NOV,0.201207243460755
2016 DEC,-0.401606425702816
