item_id,description,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total1,total2,total3,total4,up1_sh,up2_sh,up3_sh,up4_sh,down1_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change1_sh,change2_sh,change3_sh,change4_sh,net1_sh,net2_sh,net3_sh,net4_sh,item,id_count,item_id_raw,division,date_quote_s,date_quote_e,desc_appearances,date_start,date_end,coicop4_id,group,n_shops,p_min,p_max,p_mean,p_med,p_sd,coicop5_id,order,to_adjust_id,max_id,n_obs,span,spanrank,chartrank,meat_fish,track_kg,kg,to_adjust,observations,name1,name2,name3,name4,name5,weight,coicopname,sex,origin,durability,goods_services
210113,WHOLEMEAL SLICED LOAF BRANDED,2939,461,116,76,2165,303,99,67,19241,4096,1078,768,0.14214876,0.095589057,0.080566309,0.068308063,-0.1219755,-0.10590985,-0.076752536,-0.076579124,24345,4860,1293,911,0.12072294,0.094855964,0.089713842,0.083424807,0.088929966,0.06234568,0.076566122,0.073545553,0.7903471,0.84279835,0.83372003,0.84302962,0.2096529,0.15720165,0.16627997,0.15697035,0.031792976,0.032510284,0.013147719,0.009879254,11,1,210113,1,200402,202103,1,193,398,10101,101,132,0.36000001,2.79,1.0885444,1.09,0.25021476,1010103,1285,,210113,28097,205,384,405,,ED,0,,25696,Food and drink,Food,Bread and cereals,Bread,"Wholemeal sliced loaf, branded",0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210114,CHILLED GARLIC BREAD,2688,624,137,68,2348,315,146,112,20333,6985,1714,1218,0.33810741,0.35809553,0.27872208,0.25706616,-0.25905892,-0.29648161,-0.19377869,-0.19201389,25369,7924,1997,1398,0.10595609,0.078748107,0.068602905,0.048640914,0.092553906,0.039752651,0.073109664,0.080114447,0.80149001,0.88149923,0.85828745,0.87124461,0.19850999,0.11850075,0.14171258,0.12875536,0.013402179,0.038995456,-0.004506759,-0.031473532,12,1,210114,1,201002,202103,1,265,398,10101,101,117,0.27000001,2.75,0.85446244,0.80000001,0.38943133,1010103,333,,210114,29419,133,657,661,,AD,0,,25571,Food and drink,Food,Bread and cereals,Bread,Garlic bread,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210201,FLOUR-SELF-RAISING-1.5KG,3797,211,10,6,3450,207,55,50,40767,4433,743,537,0.17124802,0.21870911,0.35073575,0.14647448,-0.12917799,-0.18395276,-0.21586883,-0.19631626,48014,4851,808,593,0.079081103,0.043496188,0.012376238,0.010118044,0.07185404,0.042671613,0.068069309,0.084317029,0.84906483,0.91383219,0.91955447,0.9055649,0.15093514,0.086167797,0.080445543,0.094435073,0.007227063,0.000824574,-0.055693071,-0.074198984,13,1,210201,1,198802,202103,1,1,398,10101,101,216,0.090000004,3.49,0.75695956,0.73000002,0.29550228,1010102,577,,210201,56531,397,1,95,,KG,0,,39315,Food and drink,Food,Bread and cereals,Flour,Self raising flour,1500,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210202,RICE-LONG GRAIN-WHITE-500G,1660,0,0,0,1251,0,0,0,19262,0,0,0,0.10635403,,,,-0.097033404,,,,22173,0,0,0,0.074865825,,,,0.056419969,,,,0.86871421,,,,0.13128579,,,,0.018445857,,,,14,1,210202,1,198802,200301,1,1,180,10101,101,205,0.19,1.99,0.64290589,0.57999998,0.21498047,0,1106,,210202,27513,179,512,529,,0G,0,,12736,Food and drink,Food,Bread and cereals,Rice,Long grain white rice,500,Food and non-alcoholic beverages,Unisex,1,ND,Goods
210204,DRY SPAGHETTI OR PASTA 500G,6409,707,86,56,5817,700,212,108,54103,6955,1733,1262,0.22457187,0.45793727,0.30394113,0.27213115,-0.17004731,-0.27665517,-0.18292071,-0.13034768,66329,8362,2031,1426,0.096624404,0.084549151,0.042343672,0.039270688,0.087699197,0.083712034,0.10438208,0.075736329,0.81567639,0.83173883,0.85327423,0.88499302,0.18432361,0.16826119,0.14672574,0.11500701,0.008925207,0.000837117,-0.062038403,-0.036465641,15,1,210204,1,198802,202103,1,1,398,10101,101,225,0.12,2.52,0.69649106,0.60000002,0.3324939,1010106,517,,210204,76510,397,1,61,,0G,0,,57761,Food and drink,Food,Bread and cereals,Pasta,Spaghetti / Pasta,500,Food and non-alcoholic beverages,Unisex,1,ND,Goods
210205,MUESLI 500G - 1KG,2692,0,0,0,1996,0,0,0,20383,0,0,0,0.11553616,,,,-0.10520154,,,,25071,0,0,0,0.10737506,,,,0.079613894,,,,0.81301105,,,,0.18698895,,,,0.027761161,,,,16,1,210205,1,198802,200601,1,1,216,10101,101,221,0.47999999,3.99,1.5466406,1.47,0.49691063,0,915,,210205,30830,215,361,372,,KG,0,,15962,Food and drink,Food,Bread and cereals,Cereal,Museli,500,Food and non-alcoholic beverages,Unisex,3,ND,Goods
210206,CORN FLAKES,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,17,1,210206,,199601,199601,1,96,96,,,100,0.69,1.79,1.048093,1.0599999,0.14193453,,430,,210206,215,0,1283,1296,,ES,0,,215,Food and drink,Food,Bread and cereals,Cereal,Cornflakes,0,Food and non-alcoholic beverages,Unisex,2,ND,Goods
210208,BREAKFAST CEREAL 4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,18,1,210208,,199601,199601,1,96,96,,,102,0.86000001,1.49,0.99568623,0.99000001,0.09125302,,226,,210208,204,0,1283,1305,,4,0,,204,Food and drink,Food,Bread and cereals,Cereal,Cereal 4,0,Food and non-alcoholic beverages,Unisex,6,ND,Goods
210209,BREAKFAST CEREAL 1 NOT MUESLI,1910,0,0,0,1591,0,0,0,14988,0,0,0,0.1132235,,,,-0.096498184,,,,18489,0,0,0,0.10330467,,,,0.086051166,,,,0.81064415,,,,0.18935584,,,,0.017253503,,,,19,1,210209,1,199602,200601,1,97,216,10101,101,208,0.37,3.1900001,1.4735007,1.45,0.39917704,0,223,,210209,20790,119,722,729,,LI,0,,20790,Food and drink,Food,Bread and cereals,Cereal,Cereal 1,0,Food and non-alcoholic beverages,Unisex,6,ND,Goods
210210,BREAKFAST CEREAL 2 NOT MUESLI,947,0,0,0,705,0,0,0,7357,0,0,0,0.12558213,,,,-0.10522135,,,,9009,0,0,0,0.1051171,,,,0.07825508,,,,0.8166278,,,,0.18337218,,,,0.026862025,,,,20,1,210210,1,200002,200601,1,145,216,10101,101,139,0.44999999,2.79,1.5070096,1.49,0.41339689,0,225,,210210,10196,71,907,920,,LI,0,,10196,Food and drink,Food,Bread and cereals,Cereal,Cereal 2,0,Food and non-alcoholic beverages,Unisex,6,ND,Goods
210211,CORN SNACK SINGLE PACKET,2013,263,39,22,975,80,42,34,21054,3020,613,396,0.12545414,0.19048584,0.28445998,0.40350139,-0.12976013,-0.251643,-0.18317084,-0.18874754,24042,3363,694,452,0.083728477,0.078203984,0.056195967,0.048672568,0.040554032,0.023788285,0.06051873,0.075221241,0.87571752,0.89800775,0.88328528,0.8761062,0.12428251,0.10199226,0.1167147,0.12389381,0.043174446,0.054415699,-0.004322764,-0.026548672,21,2,210211,1,200102,202103,2,157,398,10101,101,152,0.079999998,1.39,0.46995449,0.44999999,0.19520223,1010107,55,1,210211,56690,241,271,280,,ET,0,,26715,Food and drink,Food,Bread and cereals,Cereal,Corn snack,0,Food and non-alcoholic beverages,Unisex,0,ND,Goods
210211,CORN SNACK SINGLE PACKET,2013,263,39,22,975,80,42,34,21054,3020,613,396,0.12545414,0.19048584,0.28445998,0.40350139,-0.12976013,-0.251643,-0.18317084,-0.18874754,24042,3363,694,452,0.083728477,0.078203984,0.056195967,0.048672568,0.040554032,0.023788285,0.06051873,0.075221241,0.87571752,0.89800775,0.88328528,0.8761062,0.12428251,0.10199226,0.1167147,0.12389381,0.043174446,0.054415699,-0.004322764,-0.026548672,21,2,210211,1,200102,202103,2,157,398,10107,101,152,0.079999998,1.39,0.46995449,0.44999999,0.19520223,1010705,56,1,210211,56690,241,271,280,,ET,0,,26715,Food and drink,Food,Bread and cereals,Cereal,Corn snack,0,Food and non-alcoholic beverages,Unisex,0,ND,Goods
