,mean,sd,se.mean.,skewness,kurtosis,var
01FB,0.22,0.63,0.05,0.18,0.32,0.40
04HW,0.30,0.70,0.05,2.71,10.92,0.50
07TR,0.24,1.25,0.09,-0.51,0.27,1.55
