date,CPIH,01FB,02AT,03CF,04HW,05FH,06HL,07TR,08CM,09RC,10ED,11RH,12MS
1994/7/1,-0.496457171,-0.580990759,-0.011892869,-4.270657612,-0.024039287,-2.018494703,-0.130798423,-0.182256768,-0.39848843,-0.51386465,0.175929267,0.430634297,-0.450636943
1994/8/1,0.543730112,0.306029431,-0.066607988,2.269749228,0.410483649,1.502556346,3.888509712,0.422462095,0.044953114,0.298866257,0.045030846,0.373714128,0.547051202
1994/9/1,0.165924105,-0.967218436,0.111880787,2.852149667,0.203547543,0.407640488,-0.644542694,-0.147952726,-0.568850706,0.095006748,3.83940226,0.244949149,0.138405002
1994/10/1,-0.14724378,-0.191727845,-0.15455583,-0.168006262,-0.071694377,-0.15454434,-2.423332618,-0.653384747,-2.179060771,0.286906906,-0.03467707,0.336226445,0.028595939
1994/11/1,0.159749316,0.341504261,-0.592984211,0.566062994,0.247693885,0.854994841,-0.514652015,-0.398921833,0.031413709,0.081738887,0.394588501,0.206514963,0.18423226
1994/12/1,0.383400301,0.739589299,0.342580614,0.111244224,0.243673852,0.638246041,2.339881073,0.777585336,-0.025861989,0.080597496,0.246188399,0.279970448,0.142675967
1995/1/1,0.038193596,0.950184352,2.695475707,-4.980957537,0.098592507,-2.132552285,-2.200035978,0.717878945,0.039726901,0.071942446,0.206807411,0.659195781,-0.288111445
1995/2/1,0.36040989,0.547045952,1.299576882,0.416306418,0.11208097,1.187207836,-0.963819964,0.492356914,0.201326167,0.001072996,0.197781409,0.400631765,0.123833111
1995/3/1,0.426069358,0.718491967,0.282284901,1.048147079,0.094992536,1.096282173,2.962316364,0.797707696,0.397235023,0.192064207,0,0.297356406,0.369454223
1995/4/1,0.648514326,-0.066729159,0.402782863,0.683143544,1.365916486,-0.16682987,-0.49063819,0.705411666,0.196454636,0.334129389,0,0.288823856,0.099527639
1995/5/1,0.4651863,1.6089286,0.711159737,0.413855855,0.274183302,0.804059045,1.013305297,0.101062903,0.101699574,0.078984726,0.201682115,0.293713763,0.435592311
1995/6/1,0.113884976,-0.406815728,-0.004526525,-0.293766594,0.101703958,-0.25466995,-0.963660834,0.772872859,-0.100680969,0.25276495,0,0.600920397,0.014142493
1995/7/1,-0.345756623,-0.691269579,0.101851433,-4.549452268,0.056629857,-1.234448954,0.297166051,0.010364126,-2.580030418,0.293617021,0.196993705,0.404521568,-0.358225839
1995/8/1,0.419051052,1.613643195,-0.284893843,1.365746784,0.253025486,1.119402985,0.092137592,-0.450792773,0.103451519,0.229114515,0,0.297462158,0.504580646
1995/9/1,0.453199318,0.278681633,0.09977098,3.785495331,0.373599004,0.823625883,2.043210656,-0.23595954,0.000939496,0.345002752,2.803778262,0.08634606,0.398500133
1995/10/1,-0.136984262,-1.218754852,0.382829312,0.11337372,0.201819686,0.108839957,-1.070133546,-0.841724492,0.202929322,0.015819781,0,0.296324081,-0.460987921
1995/11/1,0.043239052,0.100589391,-0.699553189,0.488461613,0.155187215,0.80525687,-0.126944395,-0.862900538,-0.100321592,0.013708308,0.199559307,0.301058379,0.312411693
1995/12/1,0.579749024,0.887123365,0.327242978,0.098184791,0.41703755,0.994382156,0.658801626,1.726669615,0.199906147,0.33633469,0.199161861,0.100673018,0.028170337
1996/1/1,-0.149658453,0.622529337,2.160913292,-6.264616633,0.34143699,-3.157968855,0.677610401,1.135632424,-0.481440199,-0.160773394,0.298148992,0.085672248,-0.896503168
1996/2/1,0.491199953,1.124447057,0.968914904,0.223721719,0.386081437,1.2529992,0.296777841,-0.017195722,0.075294826,0.233654696,0.049543784,0.193527978,0.944081336
